,codigo_municipio,Total
964,2305332,4.1
965,2305357,7.2
966,2305407,8.7
967,2305506,4
968,2305605,2.9
969,2305654,2.6
970,2305704,11.3
971,2305803,11.1
972,2305902,14.1
973,2306009,1.8
974,2306108,1.5
975,2306207,2.2
976,2306256,7.3
977,2306306,3.4
978,2306405,3.5
979,2306504,3.5
980,2306553,4.9
981,2306603,6.1
982,2306702,6.7
983,2306801,2.3
984,2306900,1.7
985,2307007,2.3
986,2307106,6.5
987,2307205,2.7
988,2307254,2.8
989,2307304,9.2
990,2307403,1.4
991,2307502,13.1
992,2307601,4.2
993,2307635,10
994,2307650,6.6
995,2307700,5.2
996,2307809,2.1
997,2307908,4
998,2308005,1.9
999,2308104,5.5
1000,2308203,0.9
1001,2308302,5.4
1002,2308351,3.7
1003,2308377,4.2
1004,2308401,6.9
1005,2308500,8.6
1006,2308609,13.1
1007,2308708,5.9
1008,2308807,5.9
1009,2308906,2.4
1010,2309003,1.6
1011,2309102,4
1012,2309201,2.3
1013,2309300,4.8
1014,2309409,1.4
1015,2309458,3
1016,2309508,7.2
1017,2309607,5.9
1018,2309706,6.4
1019,2309805,6
1020,2309904,3.1
1021,2310001,3.2
1022,2310100,3
1023,2310209,2.1
1024,2310258,2.7
1025,2310308,3.8
1026,2310407,15.9
1027,2310506,3
1028,2310605,5
1029,2310704,3.8
1030,2310803,5.2
1031,2310852,3.8
1032,2310902,2.5
1033,2310951,0.6
1034,2311009,5.5
1035,2311108,1.5
1036,2311207,8.3
1037,2311231,1.9
1038,2311264,2.4
1039,2311306,4.6
1040,2311355,8.1
1041,2311405,5.1
1042,2311504,4
1043,2311603,2.2
1044,2311702,4.5
1045,2311801,3.9
1046,2311900,4.2
1047,2311959,7.4
1048,2312007,7.4
1049,2312106,5.1
1050,2312205,1.7
1051,2312304,7
1052,2312403,3.2
1053,2312502,3
1054,2312601,7.6
1055,2312700,4.3
1056,2312809,1.7
1057,2312908,3.1
1058,2313005,2
1059,2313104,4.1
1060,2313203,6.7
1061,2313252,3.5
1062,2313302,3.7
1063,2313351,4.3
1064,2313401,2.7
1065,2313500,3.4
1066,2313559,3
1067,2313609,3
1068,2313708,6.8
1069,2313757,4.5
1070,2313807,1.8
1071,2313906,2.5
1072,2313955,4
1073,2314003,3.6
1074,2314102,5.3
1075,2400109,5.9
1076,2400208,16.7
1077,2400307,19.6
1078,2400406,10.8
1079,2400505,18.4
1080,2400604,25.6
1081,2400703,7.6
1082,2400802,18.7
1083,2400901,31.1
1084,2401008,15.6
1085,2401107,19.3
1086,2401206,24.2
1087,2401305,23.7
1088,2401404,19.1
1089,2401453,27.4
1090,2401503,21.8
1091,2401602,30
1092,2401651,24.3
1093,2401701,27.7
1094,2401800,10.1
1095,2401859,31.9
1096,2401909,19.6
1097,2402006,12
1098,2402105,11.4
1099,2402204,23.9
1100,2402303,16.9
1101,2402402,5.4
1102,2402501,21.2
1103,2402600,27.1
1104,2402709,14.9
1105,2402808,23.7
1106,2402907,27.4
1107,2403004,6.2
1108,2403103,10.1
1109,2403202,11.6
1110,2403251,17.4
1111,2403301,19.3
1112,2403400,14.6
1113,2403509,25.8
1114,2403608,25.1
1115,2403707,12.4
1116,2403756,26.7
1117,2403806,11.2
1118,2403905,19.8
1119,2404002,20.3
1120,2404101,16.8
1121,2404200,24.4
1122,2404309,21.4
1123,2404408,20.3
1124,2404507,17.5
1125,2404606,25
1126,2404705,24
1127,2404804,15.7
1128,2404853,12
1129,2404903,13
1130,2405009,16.2
1131,2405108,11.9
1132,2405207,17.1
1133,2405306,27.3
1134,2405405,19.6
1135,2405504,21.8
1136,2405603,17.9
1137,2405702,11.6
1138,2405801,13.3
1139,2405900,28.7
1140,2406007,15.5
1141,2406106,17.5
1142,2406155,24.9
1143,2406205,17.8
1144,2406304,17.8
1145,2406403,33.3
